0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	1
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	2
25	2
26	1
27	0
28	6
29	5
30	19
31	14
32	16
33	15
34	23
35	23
36	34
37	26
38	49
39	38
40	39
41	79
42	74
43	0
44	176
45	79
46	114
47	156
48	171
49	163
50	196
51	232
52	226
53	197
54	226
55	204
56	190
57	198
58	193
59	0
60	388
61	148
62	177
63	209
64	172
65	164
66	185
67	177
68	182
69	185
70	202
71	221
72	169
73	158
74	171
75	0
76	316
77	118
78	148
79	153
80	115
81	129
82	123
83	126
84	117
85	108
86	130
87	106
88	136
89	116
90	133
91	0
92	275
93	134
94	159
95	163
96	202
97	211
98	195
99	214
100	203
101	198
102	239
103	265
104	234
105	232
106	268
107	0
108	534
109	259
110	265
111	299
112	342
113	323
114	378
115	443
116	384
117	435
118	498
119	499
120	512
121	522
122	511
123	0
124	1040
125	440
126	523
127	448
128	530
129	455
130	489
131	488
132	436
133	0
134	798
135	430
136	352
137	384
138	386
139	419
140	458
141	0
142	815
143	447
144	362
145	408
146	370
147	440
148	365
149	0
150	791
151	406
152	423
153	423
154	458
155	459
156	533
157	0
158	918
159	558
160	472
161	498
162	465
163	563
164	479
165	0
166	894
167	420
168	414
169	402
170	367
171	336
172	396
173	0
174	707
175	354
176	381
177	336
178	367
179	391
180	358
181	0
182	858
183	421
184	452
185	397
186	464
187	427
188	470
189	0
190	921
191	428
192	517
193	389
194	0
195	732
196	334
197	304
198	0
199	593
200	262
201	273
202	0
203	541
204	273
205	229
206	0
207	516
208	218
209	263
210	0
211	516
212	226
213	235
214	0
215	494
216	277
217	264
218	0
219	521
220	296
221	316
222	0
223	651
224	400
225	401
226	458
227	477
228	419
229	443
230	527
231	538
232	488
233	511
234	494
235	456
236	496
237	393
238	431
239	391
240	332
241	279
242	240
243	209
244	184
245	130
246	112
247	78
248	64
249	40
250	30
251	17
252	3
253	0
254	0
255	0
Average brightness : 156.099228		Standard Deviation : 189.344070
